ID;Bundesland;Bevölkerung;28.02.20 10:00;29.02.20 10:00;01.03.20 10:00;01.03.20 15:00;02.03.20 10:00;02.03.20 15:00;03.03.20 10:00;03.03.20 15:00;04.03.20 10:00;04.03.20 15:00;05.03.20 08:00;05.03.20 15:00;06.03.20 07:00;06.03.20 15:00;07.03.20 08:00;07.03.20 15:00;08.03.20 08:00;08.03.20 15:00;09.03.20 08:00;09.03.20 15:00;;10.03.20 15:00;;11.03.20 15:00;;12.03.20 15:00;;13.03.20 15:00;;14.03.20 15:00;;15.03.20 15:00;;16.03.20 15:00;;17.03.20 19:52;;18.03.20 14:33;;19.03.20 10:00;;;;;;;;
;;;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Heile
;;80.322.251;53;66;117;129;150;157;188;196;240;262;349;400;534;639;684;795;847;902;1.112;1.139;2;1.296;2;1.567;3;2.369;5;3.062;5;3.795;8;4.838;12;6.012;13;7.156;12;8.198;12;10.999;20;0;0;0;0;0;0;0
BW;Baden-Württemberg;10.483.012;10;14;15;15;19;20;26;28;44;50;65;73;91;96;116;170;182;182;199;204;0;237;0;277;0;454;1;454;1;569;2;827;3;1.105;3;1.479;2;1.609;2;2.155;6;;;;;;;
BY;Bayern;12.412.404;15;15;19;23;25;26;35;37;48;48;52;70;79;117;117;134;148;172;256;256;0;314;0;366;0;500;1;558;1;681;1;886;4;1.067;5;1.109;4;1.243;4;1.692;8;;;;;;;
BE;Berlin;3.291.932;;;;;1;1;3;3;6;7;9;13;15;19;24;28;28;40;40;48;0;48;0;90;0;137;0;174;0;216;0;265;0;300;0;345;0;391;0;573;0;;;;;;;
BB;Brandenburg;2.465.928;;;;;;;1;1;1;1;1;1;1;2;2;2;2;4;6;6;0;9;0;24;0;30;0;44;0;61;0;84;0;94;0;73;0;92;0;134;0;;;;;;;
HB;Bremen;650.715;;;1;1;1;1;1;2;2;3;3;3;3;4;4;4;4;4;4;4;0;4;0;21;0;38;0;42;0;50;0;53;0;56;0;57;0;69;0;80;0;;;;;;;
HH;Hamburg;1.675.840;;;1;1;1;2;2;2;2;3;3;5;8;11;12;13;13;13;17;17;0;29;0;48;0;88;0;99;0;158;0;162;0;260;0;310;0;358;0;432;0;;;;;;;
HE;Hessen;5.988.463;;3;8;8;10;10;10;12;12;12;14;14;15;16;16;17;17;19;20;26;0;35;0;48;0;99;0;148;0;203;0;286;0;342;0;373;0;432;0;682;0;;;;;;;
MV;Mecklenburg-Vorpommern;1.620.815;;;;;;0;0;0;3;4;4;4;5;5;5;5;7;8;8;10;0;13;0;17;0;23;0;33;0;45;0;50;0;51;0;45;0;56;0;98;0;;;;;;;
NI;Niedersachsen;7.790.533;;;1;1;1;1;1;2;4;7;10;18;18;18;19;19;21;21;33;38;0;49;0;75;0;129;0;230;0;253;0;287;0;391;0;325;0;478;0;669;0;;;;;;;
NW;Nordrhein-Westfalen;17.557.361;25;30;66;74;86;90;101;103;111;115;175;181;281;329;346;373;392;398;484;484;2;484;2;484;3;688;3;936;3;1.154;5;1.407;5;1.541;5;2.105;6;2.372;6;3.033;6;;;;;;;
RP;Rheinland-Pfalz;3.998.474;;1;2;2;2;2;2;2;2;7;7;8;8;10;10;13;15;19;19;17;0;25;0;25;0;52;0;102;0;121;0;168;0;325;0;442;0;474;0;637;0;;;;;;;
SL;Saarland;1.000.446;;;;;;0;0;0;1;1;1;1;1;2;2;3;4;4;5;6;0;7;0;14;0;14;0;40;0;40;0;32;0;85;0;75;0;88;0;99;0;;;;;;;
SN;Sachsen;4.065.743;;;;;;;1;1;1;1;1;1;1;2;2;4;4;7;10;12;0;22;0;26;0;45;0;83;0;93;0;130;0;140;0;182;0;198;0;275;0;;;;;;;
ST;Sachsen-Anhalt;2.290.034;;;;;;0;;;;0;;;0;0;0;0;0;0;0;0;0;7;0;15;0;27;0;42;0;45;0;47;0;77;0;58;0;105;0;140;0;;;;;;;
SH;Schleswig-Holstein;2.838.231;1;1;2;2;2;2;2;2;2;2;3;7;7;7;8;8;8;9;9;9;0;9;0;27;0;31;0;48;0;60;0;103;0;123;0;127;0;159;0;202;0;;;;;;;
TH;Thüringen;2.192.320;;;;;;0;1;1;1;1;1;1;1;1;1;2;2;2;2;2;0;4;0;10;0;14;0;29;0;46;0;51;0;55;0;51;0;74;0;98;0;;;;;;;
REP;Repatriierte;0;2;2;2;2;2;2;2;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;;;;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;;25;;27;;29;;31;;33;;35;;37;;39;;41;;43;;0;;0;;0;;