Last Update;ID;Confirmed;Deaths;Recovered
;;;;
;;;;
;;;;
;;16.662;47;0
2020-03-21 10:00;BW;3.668;16;
2020-03-21 10:00;BY;2.960;19;
2020-03-21 10:00;BE;866;1;
2020-03-21 10:00;BB;254;0;
2020-03-21 10:00;HB;142;0;
2020-03-21 10:00;HH;587;0;
2020-03-21 10:00;HE;1.080;2;
2020-03-21 10:00;MV;165;0;
2020-03-21 10:00;NI;1.023;0;
2020-03-21 10:00;NW;3.542;6;
2020-03-21 10:00;RP;938;1;
2020-03-21 10:00;SL;187;0;
2020-03-21 10:00;SN;567;0;
2020-03-21 10:00;ST;188;1;
2020-03-21 10:00;SH;308;1;
2020-03-21 10:00;TH;187;0;
2020-03-21 10:00;REP;0;0;