Last Update;ID;Confirmed;Deaths;Recovered;Active
;;;;;
;;;;;
;;;;;
;;52.547;389;0;0
2020-03-29 14:05;BW;9.794;101;;
2020-03-29 14:05;BY;12.881;107;;
2020-03-29 14:05;BE;2.360;9;;
2020-03-29 14:05;BB;721;1;;
2020-03-29 14:05;HB;275;2;;
2020-03-29 14:05;HH;1.846;4;;
2020-03-29 14:05;HE;2.605;9;;
2020-03-29 14:05;MV;348;1;;
2020-03-29 14:05;NI;3.450;21;;
2020-03-29 14:05;NW;11.400;98;;
2020-03-29 14:05;RP;2.396;12;;
2020-03-29 14:05;SL;560;2;;
2020-03-29 14:05;SN;1.617;9;;
2020-03-29 14:05;ST;592;2;;
2020-03-29 14:05;SH;1.005;6;;
2020-03-29 14:05;TH;697;5;;
2020-03-29 14:05;REP;0;0;;